compound,smiles,concentration,moa,plate,well,replicate,dapi_path,tubulin_path,actin_path
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,10.000000,Actin disruptors,Week1_22161,B04,3,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B04_s1_w1CA838496-DF71-40B2-B62F-23A995576638.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B04_s1_w206E48C71-130F-4079-B496-CB86537BAF1E.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B04_s1_w481193CDC-607C-46EE-A026-746058BAE10F.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,10.000000,Actin disruptors,Week1_22161,B04,3,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B04_s2_w14267EFE5-63A5-4B16-91BD-70708E55F937.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B04_s2_w2A5D3DB3D-8C3A-4A09-9932-06FCB268793D.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B04_s2_w4FCBD0752-0DEC-447C-8F8F-D520925CFBD8.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22123,B03,1,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s1_w114129FBE-AB04-4F79-B8AF-CFA7D5524D53.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s1_w2CAEC09A2-969B-48A9-BE0B-C6825D180EB4.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s1_w41094DA98-6064-4EA2-B4A7-02A38208692F.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22123,B03,1,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s2_w1B41C8265-7501-433B-B901-C57F0A1A39B7.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s2_w25CEC2D43-E105-42BB-BC00-6962B3ADEBED.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s2_w45787A3F4-4DBD-45E1-B229-32BA1BFACAC6.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22123,B03,1,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s3_w1FD5D2AA2-BCCE-4C01-B0DE-58F6202CF6C8.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s3_w249EE4202-8755-41DD-A4EA-40BA80C0E39C.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s3_w47D57FC50-6AF2-4154-B29B-EC21ADF4D9C1.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22123,B03,1,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s4_w155514C59-0387-48AC-B2C1-0FCDC248B021.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s4_w2920745D3-B57F-485E-BAD1-0F414F0992FF.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22123/Week1_22123/Week1_150607_B03_s4_w4CE39220B-B0AC-49B5-94F8-C3545525E26C.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22141,B03,2,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s1_w1920D7596-8E5F-4F43-A01E-2A144CFFC96B.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s1_w227CA73E4-EDCB-430A-9A47-7279EB750EF8.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s1_w4EE087FE0-6AE6-40A2-A1E0-4BC99E455AC4.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22141,B03,2,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s2_w1A7BCCCBB-5B8B-45B2-858A-A57A37EE0D58.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s2_w294BC5504-0FBC-4EC9-ADDD-7E4293C98D19.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s2_w439ECDCDC-D518-4956-9354-95A96DCD5848.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22141,B03,2,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s3_w152FF25F3-113C-4AE7-B034-E69D90912886.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s3_w2E7CA3BAF-3F76-4023-828F-AED1525F8700.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s3_w48B576222-33E6-423E-95EF-F7017C7739E3.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22141,B03,2,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s4_w153D5264B-213C-454E-B4C4-FB3A0CA2F0D5.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s4_w2CB0F5E45-A7BE-426D-81D8-88EDA9CAFCD6.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22141/Week1_22141/Week1_150607_B03_s4_w46BEC7715-03B0-45C9-87F0-ADC3C8E43BF6.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22161,B03,3,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s1_w19AAA26C2-7659-4721-868E-AF2ACA958824.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s1_w208B1A6C0-CBF1-4DB9-8C41-FE77F53D8CC2.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s1_w407A3EA02-4FC9-45F8-9089-EB22D23AC16F.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22161,B03,3,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s2_w16BAE18E6-E27B-4683-90FA-581B8ADA6CB1.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s2_w29833042D-75CE-4B3F-8C8B-94604F642672.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s2_w4D659D620-9183-4955-BBEA-A61A4D19095E.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22161,B03,3,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s3_w1ED6761D5-1562-4E21-BBA6-73EDD204743E.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s3_w224AFD1B2-C4F7-4374-B655-7D096D7A0544.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s3_w41E5B909A-64F6-4B23-B297-4692F067DE39.tif
cytochalasin B,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,30.000000,Actin disruptors,Week1_22161,B03,3,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s4_w1F190EE50-4711-41B9-811B-062E55FA03ED.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s4_w24CB630CC-6827-41F7-9876-8D71A37CE27E.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week1_22161/Week1_22161/Week1_150607_B03_s4_w42FCA98EC-8F01-4500-A988-FB1C42EAB2D7.tif
cytochalasin D,C[C@H]1C\\C=C\\[C@H]2[C@H](O)C(=C)[C@@H](C)[C@H]3[C@@H](Cc4ccccc4)NC(=O)C23C(OC(=O)C)\\C=C\\C(C)(O)C1=O,0.300000,Actin disruptors,Week2_24121,B06,1,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week2_24121/Week2_24121/Week2_180607_B06_s1_w107EA5E18-5581-4D44-BE14-1849EFD2F65B.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week2_24121/Week2_24121/Week2_180607_B06_s1_w20CD8D3C9-7C35-49B2-8742-63410A976D17.tif,/Users/shaonichakravarty/Documents/IIIT_Dharwad/research_project/Mtech_project/multimodal_datapipeline/dataset_pipeline_output/bbbc021/images/BBBC021_v1_images_Week2_24121/Week2_24121/Week2_180607_B06_s1_w47E3FDE6C-3415-4E8F-AA23-F8B07EDA8A5A.tif
